Urban,POP2010,OHU2010,NUMGQTRS,LILATracts_halfAnd10,LILATracts_Vehicle,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LATracts_half,LATracts1,LATracts10,LAPOP05_10,lawhitehalf,lablackhalf,laasianhalf,laomultirhalf,lawhite1,lanhopi1,laaian1,lahisp1,lahunv1,lahunv10,laasian20,lahunv20,lasnap20,TractLOWI,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractHispanic,TractHUNV,TractSNAP,ZScore_EstMedVal
1,2937,1314,2,0,0,0,5.0,230139,1,1,0,2898.254926,2128.591735,140.8122146,452.5942067,163.2567791,1291.328495,2.431579813,3.86856978,73.74367064,0.0,0.0,0.0,0.0,0.0,173,2161,142,456,9,4,117,0,0,2.4168888609226062
1,1974,856,70,0,0,0,4.0,181016,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,1659,33,147,0,4,151,57,6,1.6822024318672926
1,4865,2418,40,0,0,0,8.6,136250,0,0,0,352.9471216,108.6910071,193.8655161,16.54529791,28.50116648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781,3468,518,423,5,17,399,354,34,1.5419342285893418
1,3703,1779,33,0,0,0,7.2,109861,0,0,0,79.81942827,56.75365883,12.78879886,4.186976604,4.85193656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672,2628,456,278,6,14,332,159,9,1.4009411250360528
1,3517,1578,126,0,0,0,15.1,102083,1,0,0,889.0039192,426.7688038,299.9610385,40.14104776,114.5355654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924,1905,955,209,5,27,340,258,72,0.6528440408869819
1,1571,690,6,0,0,0,8.3,93875,1,0,0,1571.000033,720.00001,628.0000062,80.00000109,138.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590,720,628,80,1,4,126,173,104,0.1287411418174293
1,4206,1755,167,1,1,1,18.9,43770,1,0,0,4101.883197,1358.022904,2022.818178,248.010501,408.1904143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2129,1391,2084,251,16,52,439,361,214,0.5114884871960237
1,3594,1567,153,1,1,1,7.7,70357,1,0,0,2832.140625,1003.859153,1222.771264,274.6939861,307.6061517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870,1281,1490,438,7,21,367,184,84,0.0997451308038994
1,2302,1019,2,1,0,1,12.0,74044,1,0,0,2016.227836,699.5810885,908.558086,116.3945692,277.1459658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528,812,1038,129,5,10,307,101,30,0.1889078646705038
1,5678,2354,23,1,1,1,29.7,51960,1,0,0,1882.929072,509.9736803,968.3499504,99.98380775,281.2894656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2502,1487,2923,424,12,45,806,662,185,-0.2648797076912387
1,4156,2007,150,0,0,1,15.2,71726,0,0,0,301.4086939,131.0256947,94.63398889,27.49972272,45.98174519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318,2152,1009,454,10,35,522,438,116,0.5466461505499287
1,2416,1216,46,0,0,0,7.9,116667,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480,1510,429,235,4,10,226,232,91,0.6426954370322464
1,3528,1632,580,0,0,1,34.4,42212,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953,1060,1292,674,17,27,488,663,190,0.2744460971604169
1,4314,1396,508,0,0,1,41.7,30200,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2876,792,2138,429,6,53,911,465,377,-0.3533175412825048
1,2630,940,415,0,0,1,22.9,49148,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011,683,1413,185,17,10,406,288,116,-0.3239590801313058
1,2163,765,57,0,0,1,40.2,31779,0,0,0,1.322274923,0.0,0.440758318,0.440758318,0.440758318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1269,446,1027,260,3,48,449,240,141,-0.3547673418331813
1,2667,1033,107,1,0,1,22.8,52050,1,1,0,1647.756889,491.3209197,635.3835489,161.0307466,334.021673,276.3602239,7.955122659,6.669282589,201.7806658,50.32879927,0.0,0.0,0.0,0.0,1071,889,908,271,9,38,683,180,116,-0.227547343511319
1,1703,637,1,1,1,1,31.8,28309,1,1,0,1703.000004,300.9999982,992.9999966,52.99999972,337.9999998,222.4275211,6.607866093,6.823993739,268.5258384,190.1351192,0.0,0.0,0.0,0.0,1076,301,993,53,7,11,329,221,143,-0.2728536107199594
1,2385,849,15,1,1,1,26.6,39583,1,1,0,2385.000011,553.0000023,895.9999975,283.0000005,636.0000017,299.1839041,1.009321928,10.0093219,442.585881,66.78969534,0.0,0.0,0.0,0.0,1379,553,896,283,2,15,720,221,149,-0.1706426718972666
1,2351,1028,22,0,0,1,29.5,30833,0,0,0,198.3185857,15.23069004,142.3920634,13.42974569,21.00918054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724,366,1371,329,6,12,220,399,215,-0.083654638856677
1,1784,673,2,1,1,1,49.7,19891,1,0,0,1751.143024,154.8464705,1177.041025,291.4811829,118.2417974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352,156,1201,297,0,10,81,315,270,-0.550490416174508
1,1151,618,3,0,0,1,34.9,19877,0,0,0,53.32311785,1.658941444,9.005682126,40.99955282,0.236991635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670,145,346,581,4,4,66,286,42,-0.4091348624835498
1,1569,604,5,0,0,1,25.3,47847,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796,292,894,163,0,8,243,246,169,-0.242407799155753
1,3345,2025,311,0,0,1,42.2,38571,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915,891,1395,714,14,26,276,1048,154,0.3132282618910132
1,2788,1500,92,0,0,1,30.2,29966,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536,130,126,2472,1,4,36,787,69,-0.3134480261389012
1,2238,701,985,0,0,1,27.6,76563,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516,560,687,756,5,5,321,240,24,-0.1637561192815533
1,4054,2054,47,0,0,1,21.7,66574,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307,1143,471,2194,5,10,242,509,67,-0.3366448349497252
1,4146,2713,31,0,0,1,15.9,41845,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992,1521,844,1352,13,17,387,1081,100,-0.0735060350019415
1,4374,2547,33,0,0,1,25.4,34146,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2191,1560,1252,1044,12,23,440,671,118,-0.0658945821108899
1,1991,1171,18,0,0,1,19.8,75292,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575,978,540,217,3,13,242,204,71,-0.2648797076912387
1,4482,2542,163,0,0,1,9.5,61991,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003,1707,1724,559,7,17,436,224,130,-0.2674168586549226
