CensusTract,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lalowihalf,lawhitehalf,lablackhalf,laasianhalf,lanhopihalf,laaianhalf,laomultirhalf,lahisphalf,lahunvhalf,lasnaphalf,lapop1,lalowi1,lawhite1,lablack1,laasian1,lanhopi1,laaian1,laomultir1,lahisp1,lahunv1,lasnap1,lapop10,lalowi10,lawhite10,lablack10,laasian10,lanhopi10,laaian10,laomultir10,lahisp10,lahunv10,lasnap10,lapop20,lalowi20,lawhite20,lablack20,laasian20,lanhopi20,laaian20,laomultir20,lahisp20,lahunv20,lasnap20,TractLOWI,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
6001400100,Alameda,1,2937,1314,0,2,0.000681,0,0,0,0,0,0,5.0,230139,1,1,1,1,1,0,0,0,1772.864756,2898.254926,1772.864756,111.4482561,182.1940773,111.4482561,2898.254926,182.1940773,2128.591735,140.8122146,452.5942067,8.99999995,4.000000019,163.2567791,115.3283308,0.0,0.0,1772.864756,111.4482561,1291.328495,103.9597096,276.8798657,2.431579813,3.86856978,94.39654932,73.74367064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,2161,142,456,9,4,165,117,0,0
6001400200,Alameda,1,1974,856,0,70,0.035461,0,0,0,0,0,0,4.0,181016,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,1659,33,147,0,4,131,151,57,6
6001400300,Alameda,1,4865,2418,0,40,0.008222,0,0,0,0,0,0,8.6,136250,0,0,0,0,0,0,0,0,0.0,352.9471216,0.0,0.0,95.86218262,0.0,352.9471216,95.86218262,108.6910071,193.8655161,16.54529791,0.0,5.344142318,28.50116648,26.22796521,56.89156103,2.919550105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781,3468,518,423,5,17,434,399,354,34
6001400400,Alameda,1,3703,1779,0,33,0.0089117,0,0,0,0,0,0,7.2,109861,0,0,0,0,0,0,0,0,0.0,79.81942827,0.0,0.0,11.10755802,0.0,79.81942827,11.10755802,56.75365883,12.78879886,4.186976604,0.825371802,0.412685901,4.85193656,12.6423758,3.710807379,0.227192304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672,2628,456,278,6,14,321,332,159,9
6001400500,Alameda,1,3517,1578,0,126,0.035826,0,0,0,0,0,0,15.1,102083,0,1,0,1,0,0,0,0,0.0,889.0039192,0.0,0.0,224.8011142,0.0,889.0039192,224.8011142,426.7688038,299.9610385,40.14104776,1.003892677,6.593564987,114.5355654,88.43648404,43.43694707,17.76556826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924,1905,955,209,5,27,416,340,258,72
6001400600,Alameda,1,1571,690,0,6,0.0038192,0,0,0,0,1,0,8.3,93875,0,1,0,1,0,0,0,1,0.0,1571.000033,0.0,0.0,537.4186074,0.0,1571.000033,537.4186074,720.00001,628.0000062,80.00000109,1.0,4.0,138.000001,126.0000008,142.8778,98.84297507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590,720,628,80,1,4,138,126,173,104
6001400700,Alameda,1,4206,1755,0,167,0.0397052,0,1,0,1,1,1,18.9,43770,0,1,0,1,0,0,0,1,0.0,4101.883197,0.0,0.0,1999.709074,0.0,4101.883197,1999.709074,1358.022904,2022.818178,248.010501,12.84119808,51.99999974,408.1904143,435.7172576,344.2300914,204.7371613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2129,1391,2084,251,16,52,412,439,361,214
6001400800,Alameda,1,3594,1567,0,153,0.042571,0,1,0,1,1,1,7.7,70357,0,1,0,1,0,0,0,1,0.0,2832.140625,0.0,0.0,809.6369488,0.0,2832.140625,809.6369488,1003.859153,1222.771264,274.6939861,7.000000179,16.21007144,307.6061517,296.6106032,147.4054743,63.9401141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870,1281,1490,438,7,21,357,367,184,84
6001400900,Alameda,1,2302,1019,0,2,0.0008688,0,1,0,0,0,1,12.0,74044,0,1,0,1,0,0,0,0,0.0,2016.227836,0.0,0.0,525.6834758,0.0,2016.227836,525.6834758,699.5810885,908.558086,116.3945692,4.999999978,9.548121221,277.1459658,276.3181528,88.49266961,26.37875157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528,812,1038,129,5,10,308,307,101,30
6001401000,Alameda,1,5678,2354,0,23,0.0040507,0,1,0,1,1,1,29.7,51960,0,1,0,1,0,0,0,1,0.0,1882.929072,0.0,0.0,736.8146403,0.0,1882.929072,736.8146403,509.9736803,968.3499504,99.98380775,2.416929056,20.91524451,281.2894656,264.04705,213.8375856,57.44160363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2502,1487,2923,424,12,45,787,806,662,185
