,CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lalowihalf,lawhitehalf,lablackhalf,laasianhalf,lanhopihalf,laaianhalf,laomultirhalf,lahisphalf,lahunvhalf,lasnaphalf,lapop1,lalowi1,lawhite1,lablack1,laasian1,lanhopi1,laaian1,laomultir1,lahisp1,lahunv1,lasnap1,lapop10,lalowi10,lawhite10,lablack10,laasian10,lanhopi10,laaian10,laomultir10,lahisp10,lahunv10,lasnap10,lapop20,lalowi20,lawhite20,lablack20,laasian20,lanhopi20,laaian20,laomultir20,lahisp20,lahunv20,lasnap20,TractLOWI,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
3551,6001400100,California,Alameda County,1,2937,1314,0,2.0,0.07,0,0,0,0,0,0,3.6,220486.0,1,1,1,1,1,0,0,0,1711.0,2898.0,1711.0,172.0,291.0,172.0,2898.0,291.0,2129.0,141.0,453.0,9.0,4.0,163.0,115.0,28.0,0.0,1711.0,172.0,1246.0,100.0,266.0,2.0,3.0,92.0,72.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,312.0,2161.0,142.0,456.0,9.0,4.0,165.0,117.0,28.0,0.0
3552,6001400200,California,Alameda County,1,1974,856,0,70.0,3.55,0,0,0,0,0,0,6.5,233625.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,1659.0,33.0,147.0,0.0,4.0,131.0,151.0,59.0,0.0
3553,6001400300,California,Alameda County,1,4865,2418,0,40.0,0.82,0,0,0,0,1,0,5.3,166875.0,0,1,0,1,0,0,0,1,,892.0,,,115.0,,892.0,115.0,408.0,335.0,49.0,0.0,9.0,91.0,96.0,106.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0,3468.0,518.0,423.0,5.0,17.0,434.0,399.0,423.0,38.0
3554,6001400400,California,Alameda County,1,3703,1779,0,33.0,0.89,0,0,0,0,0,0,11.3,141250.0,0,0,0,0,0,0,0,0,,80.0,,,16.0,,80.0,16.0,57.0,13.0,4.0,1.0,0.0,5.0,13.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.0,2628.0,456.0,278.0,6.0,14.0,321.0,332.0,157.0,115.0
3555,6001400500,California,Alameda County,1,3517,1578,0,126.0,3.58,0,0,0,0,0,0,11.9,134583.0,0,1,0,1,0,0,0,0,,889.0,,,196.0,,889.0,196.0,427.0,300.0,40.0,1.0,7.0,115.0,88.0,33.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.0,1905.0,955.0,209.0,5.0,27.0,416.0,340.0,188.0,51.0
3556,6001400600,California,Alameda County,1,1571,690,0,6.0,0.38,0,0,0,0,0,0,9.2,146964.0,0,1,0,1,0,0,0,0,,1571.0,,,270.0,,1571.0,270.0,720.0,628.0,80.0,1.0,4.0,138.0,126.0,77.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,720.0,628.0,80.0,1.0,4.0,138.0,126.0,76.0,47.0
3557,6001400700,California,Alameda County,1,4206,1755,0,167.0,3.97,0,0,0,0,1,0,12.9,95250.0,0,1,0,1,0,0,0,1,,4102.0,,,1462.0,,4102.0,1462.0,1358.0,2023.0,248.0,13.0,52.0,408.0,436.0,266.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.0,1391.0,2084.0,251.0,16.0,52.0,412.0,439.0,291.0,201.0
3558,6001400800,California,Alameda County,1,3594,1567,0,153.0,4.26,0,1,0,1,1,1,12.2,44185.0,0,1,0,1,0,0,0,1,,2027.0,,,779.0,,2027.0,779.0,600.0,1001.0,189.0,7.0,7.0,222.0,208.0,105.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.0,1281.0,1490.0,438.0,7.0,21.0,357.0,367.0,218.0,111.0
3559,6001400900,California,Alameda County,1,2302,1019,0,2.0,0.09,0,1,0,1,1,1,11.5,85982.0,0,1,0,1,0,0,0,1,,1894.0,,,627.0,,1894.0,627.0,628.0,878.0,112.0,5.0,9.0,261.0,263.0,103.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.0,812.0,1038.0,129.0,5.0,10.0,308.0,307.0,116.0,78.0
3560,6001401000,California,Alameda County,1,5678,2354,0,23.0,0.41,0,1,0,1,1,1,20.1,76074.0,0,1,0,1,0,0,0,1,,4071.0,,,1176.0,,4071.0,1176.0,1083.0,2112.0,248.0,6.0,34.0,588.0,584.0,486.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780.0,1487.0,2923.0,424.0,12.0,45.0,787.0,806.0,645.0,344.0
