,Estimate_Median_value_(dollars),Margin_of_Error_Median_value_(dollars),CensusTract,Geographic_Area_Name
7230,2000001.00,nan,6085511704,"Census Tract 5117.04, Santa Clara County, California"
7228,2000001.00,nan,6085511701,"Census Tract 5117.01, Santa Clara County, California"
7224,2000001.00,nan,6085511400,"Census Tract 5114, Santa Clara County, California"
7221,2000001.00,nan,6085511200,"Census Tract 5112, Santa Clara County, California"
7210,2000001.00,nan,6085510300,"Census Tract 5103, Santa Clara County, California"
7143,2000001.00,nan,6085507302,"Census Tract 5073.02, Santa Clara County, California"
7141,2000001.00,nan,6085507206,"Census Tract 5072.06, Santa Clara County, California"
6858,2000001.00,nan,6083001500,"Census Tract 15, Santa Barbara County, California"
6825,2000001.00,nan,6081613400,"Census Tract 6134, San Mateo County, California"
6824,2000001.00,nan,6081613300,"Census Tract 6133, San Mateo County, California"
6823,2000001.00,nan,6081613200,"Census Tract 6132, San Mateo County, California"
6820,2000001.00,nan,6081612800,"Census Tract 6128, San Mateo County, California"
6819,2000001.00,nan,6081612700,"Census Tract 6127, San Mateo County, California"
6810,2000001.00,nan,6081611500,"Census Tract 6115, San Mateo County, California"
6809,2000001.00,nan,6081611400,"Census Tract 6114, San Mateo County, California"
6738,2000001.00,nan,6081605700,"Census Tract 6057, San Mateo County, California"
6737,2000001.00,nan,6081605600,"Census Tract 6056, San Mateo County, California"
6458,2000001.00,nan,6075042800,"Census Tract 428, San Francisco County, California"
6324,2000001.00,nan,6075013300,"Census Tract 133, San Francisco County, California"
6323,2000001.00,nan,6075013200,"Census Tract 132, San Francisco County, California"
6111,2000001.00,nan,6073017106,"Census Tract 171.06, San Diego County, California"
4087,2000001.00,nan,6059063005,"Census Tract 630.05, Orange County, California"
4085,2000001.00,nan,6059062900,"Census Tract 629, Orange County, California"
4075,2000001.00,nan,6059062643,"Census Tract 626.43, Orange County, California"
3580,2000001.00,nan,6041123000,"Census Tract 1230, Marin County, California"
3572,2000001.00,nan,6041118100,"Census Tract 1181, Marin County, California"
3340,2000001.00,nan,6037800504,"Census Tract 8005.04, Los Angeles County, California"
3294,2000001.00,nan,6037701304,"Census Tract 7013.04, Los Angeles County, California"
3291,2000001.00,nan,6037701201,"Census Tract 7012.01, Los Angeles County, California"
3284,2000001.00,nan,6037700700,"Census Tract 7007, Los Angeles County, California"
3283,2000001.00,nan,6037700600,"Census Tract 7006, Los Angeles County, California"
3272,2000001.00,nan,6037670500,"Census Tract 6705, Los Angeles County, California"
3216,2000001.00,nan,6037621002,"Census Tract 6210.02, Los Angeles County, California"
3214,2000001.00,nan,6037620904,"Census Tract 6209.04, Los Angeles County, California"
3213,2000001.00,nan,6037620901,"Census Tract 6209.01, Los Angeles County, California"
2011,2000001.00,nan,6037264000,"Census Tract 2640, Los Angeles County, California"
2010,2000001.00,nan,6037262802,"Census Tract 2628.02, Los Angeles County, California"
2009,2000001.00,nan,6037262706,"Census Tract 2627.06, Los Angeles County, California"
2004,2000001.00,nan,6037262400,"Census Tract 2624, Los Angeles County, California"
2003,2000001.00,nan,6037262303,"Census Tract 2623.03, Los Angeles County, California"
2002,2000001.00,nan,6037262302,"Census Tract 2623.02, Los Angeles County, California"
2000,2000001.00,nan,6037262200,"Census Tract 2622, Los Angeles County, California"
1999,2000001.00,nan,6037262100,"Census Tract 2621, Los Angeles County, California"
132,2000001.00,nan,6001422600,"Census Tract 4226, Alameda County, California"
3361,9999.00,nan,6037900704,"Census Tract 9007.04, Los Angeles County, California"
2017,1239300.00,1156045.00,6037265201,"Census Tract 2652.01, Los Angeles County, California"
6314,1496200.00,1035553.00,6075012601,"Census Tract 126.01, San Francisco County, California"
6293,1225000.00,934595.00,6075010700,"Census Tract 107, San Francisco County, California"
1593,1261400.00,809276.00,6037190700,"Census Tract 1907, Los Angeles County, California"
7295,864600.00,793883.00,6085513000,"Census Tract 5130, Santa Clara County, California"
5798,1142900.00,747590.00,6073008200,"Census Tract 82, San Diego County, California"
6316,1552300.00,747051.00,6075012700,"Census Tract 127, San Francisco County, California"
3290,795500.00,722925.00,6037701100,"Census Tract 7011, Los Angeles County, California"
6322,1245500.00,697429.00,6075013102,"Census Tract 131.02, San Francisco County, California"
6298,1248000.00,672538.00,6075011200,"Census Tract 112, San Francisco County, California"
6300,1125000.00,667807.00,6075011700,"Census Tract 117, San Francisco County, California"
2018,1463200.00,634216.00,6037265202,"Census Tract 2652.02, Los Angeles County, California"
6685,583300.00,570631.00,6081600800,"Census Tract 6008, San Mateo County, California"
3486,625000.00,569232.00,6037930101,"Census Tract 9301.01, Los Angeles County, California"
6325,1527300.00,547958.00,6075013400,"Census Tract 134, San Francisco County, California"
6326,1595600.00,543544.00,6075013500,"Census Tract 135, San Francisco County, California"
7231,1775000.00,526083.00,6085511705,"Census Tract 5117.05, Santa Clara County, California"
6294,990500.00,507389.00,6075010800,"Census Tract 108, San Francisco County, California"
1568,1262500.00,506023.00,6037188202,"Census Tract 1882.02, Los Angeles County, California"
4048,1508300.00,495863.00,6059062605,"Census Tract 626.05, Orange County, California"
134,635400.00,490317.00,6001422800,"Census Tract 4228, Alameda County, California"
7223,1312500.00,488479.00,6085511302,"Census Tract 5113.02, Santa Clara County, California"
1628,1271900.00,459251.00,6037194102,"Census Tract 1941.02, Los Angeles County, California"
7186,528000.00,450850.00,6085509105,"Census Tract 5091.05, Santa Clara County, California"
4047,1538700.00,450163.00,6059062604,"Census Tract 626.04, Orange County, California"
6319,1428600.00,429179.00,6075012902,"Census Tract 129.02, San Francisco County, California"
4084,1590900.00,428135.00,6059062800,"Census Tract 628, Orange County, California"
1630,1830400.00,426361.00,6037194300,"Census Tract 1943, Los Angeles County, California"
7850,747400.00,425674.00,6111001206,"Census Tract 12.06, Ventura County, California"
1710,534100.00,424239.00,6037207102,"Census Tract 2071.02, Los Angeles County, California"
4083,1895800.00,422236.00,6059062702,"Census Tract 627.02, Orange County, California"
7222,1745700.00,420158.00,6085511301,"Census Tract 5113.01, Santa Clara County, California"
6736,1027500.00,412682.00,6081605500,"Census Tract 6055, San Mateo County, California"
5760,771100.00,410872.00,6073005300,"Census Tract 53, San Diego County, California"
3983,1303200.00,407585.00,6059042305,"Census Tract 423.05, Orange County, California"
6857,1563700.00,397526.00,6083001402,"Census Tract 14.02, Santa Barbara County, California"
3807,1242000.00,383674.00,6055201500,"Census Tract 2015, Napa County, California"
1611,383300.00,381313.00,6037191710,"Census Tract 1917.10, Los Angeles County, California"
6307,1012500.00,375875.00,6075012202,"Census Tract 122.02, San Francisco County, California"
3289,1534200.00,375163.00,6037701000,"Census Tract 7010, Los Angeles County, California"
5924,993900.00,363265.00,6073010800,"Census Tract 108, San Diego County, California"
3304,715900.00,360665.00,6037701902,"Census Tract 7019.02, Los Angeles County, California"
6453,1015400.00,357757.00,6075040100,"Census Tract 401, San Francisco County, California"
6349,1340600.00,353710.00,6075017101,"Census Tract 171.01, San Francisco County, California"
5806,1424300.00,350087.00,6073008312,"Census Tract 83.12, San Diego County, California"
3951,840300.00,349916.00,6059032041,"Census Tract 320.41, Orange County, California"
7227,1572200.00,342868.00,6085511609,"Census Tract 5116.09, Santa Clara County, California"
6292,1052800.00,341067.00,6075010600,"Census Tract 106, San Francisco County, California"
6317,1150700.00,340284.00,6075012800,"Census Tract 128, San Francisco County, California"
5805,1716300.00,335744.00,6073008311,"Census Tract 83.11, San Diego County, California"
3285,1224100.00,333917.00,6037700801,"Census Tract 7008.01, Los Angeles County, California"
1576,877500.00,333618.00,6037189500,"Census Tract 1895, Los Angeles County, California"
4088,1940500.00,330511.00,6059063006,"Census Tract 630.06, Orange County, California"
6343,1129800.00,323960.00,6075016600,"Census Tract 166, San Francisco County, California"
6454,1165100.00,323565.00,6075040200,"Census Tract 402, San Francisco County, California"
6822,1308600.00,323115.00,6081613000,"Census Tract 6130, San Mateo County, California"
5089,375000.00,320341.00,6067007101,"Census Tract 71.01, Sacramento County, California"
133,907600.00,319776.00,6001422700,"Census Tract 4227, Alameda County, California"
6739,1888200.00,317747.00,6081605800,"Census Tract 6058, San Mateo County, California"
5926,1354700.00,314872.00,6073011000,"Census Tract 110, San Diego County, California"
6816,925000.00,313422.00,6081612100,"Census Tract 6121, San Mateo County, California"
2006,1352000.00,313386.00,6037262601,"Census Tract 2626.01, Los Angeles County, California"
2016,1927600.00,301814.00,6037265100,"Census Tract 2651, Los Angeles County, California"
1997,1655500.00,297707.00,6037261102,"Census Tract 2611.02, Los Angeles County, California"
3470,708300.00,285341.00,6037920303,"Census Tract 9203.03, Los Angeles County, California"
1600,512500.00,282686.00,6037191120,"Census Tract 1911.20, Los Angeles County, California"
6289,1098900.00,279603.00,6075010300,"Census Tract 103, San Francisco County, California"
6315,1615200.00,275338.00,6075012602,"Census Tract 126.02, San Francisco County, California"
2533,663500.00,275022.00,6037461902,"Census Tract 4619.02, Los Angeles County, California"
1631,1015600.00,274907.00,6037194401,"Census Tract 1944.01, Los Angeles County, California"
1762,330800.00,274662.00,6037211802,"Census Tract 2118.02, Los Angeles County, California"
4242,318500.00,274501.00,6059087504,"Census Tract 875.04, Orange County, California"
1758,1326400.00,273846.00,6037211500,"Census Tract 2115, Los Angeles County, California"
2025,613200.00,273370.00,6037265510,"Census Tract 2655.10, Los Angeles County, California"
1505,855300.00,272738.00,6037141202,"Census Tract 1412.02, Los Angeles County, California"
4010,818400.00,270977.00,6059052404,"Census Tract 524.04, Orange County, California"
3337,1673600.00,270655.00,6037800406,"Census Tract 8004.06, Los Angeles County, California"
1748,1362400.00,268300.00,6037211000,"Census Tract 2110, Los Angeles County, California"
1580,873300.00,261705.00,6037189800,"Census Tract 1898, Los Angeles County, California"
2029,1167700.00,260523.00,6037265700,"Census Tract 2657, Los Angeles County, California"
6344,996800.00,258591.00,6075016700,"Census Tract 167, San Francisco County, California"
5800,1720900.00,257516.00,6073008303,"Census Tract 83.03, San Diego County, California"
1496,928600.00,256920.00,6037139600,"Census Tract 1396, Los Angeles County, California"
3040,540300.00,256185.00,6037573002,"Census Tract 5730.02, Los Angeles County, California"
2043,1513500.00,255640.00,6037269000,"Census Tract 2690, Los Angeles County, California"
1745,535700.00,255559.00,6037209810,"Census Tract 2098.10, Los Angeles County, California"
1795,1795800.00,254903.00,6037214100,"Census Tract 2141, Los Angeles County, California"
3762,378900.00,254645.00,6053014105,"Census Tract 141.05, Monterey County, California"
7953,1821400.00,252121.00,6111007300,"Census Tract 73, Ventura County, California"
5513,270800.00,251803.00,6071007303,"Census Tract 73.03, San Bernardino County, California"
3326,1538800.00,250804.00,6037800203,"Census Tract 8002.03, Los Angeles County, California"
130,731300.00,248664.00,6001422400,"Census Tract 4224, Alameda County, California"
5786,567900.00,247664.00,6073007702,"Census Tract 77.02, San Diego County, California"
3277,403400.00,246559.00,6037700102,"Census Tract 7001.02, Los Angeles County, California"
6817,1398100.00,246253.00,6081612500,"Census Tract 6125, San Mateo County, California"
