,Estimate_Median_value_(dollars),Margin_of_Error_Median_value_(dollars),CensusTract,Geographic_Area_Name
1,1197900,68223,6001400100,"Census Tract 4001, Alameda County, California"
2,1385400,191210,6001400200,"Census Tract 4002, Alameda County, California"
3,1053200,121286,6001400300,"Census Tract 4003, Alameda County, California"
4,1111600,117913,6001400400,"Census Tract 4004, Alameda County, California"
5,813800,105558,6001400500,"Census Tract 4005, Alameda County, California"
6,825700,60029,6001400600,"Census Tract 4006, Alameda County, California"
7,702500,46950,6001400700,"Census Tract 4007, Alameda County, California"
8,697000,47483,6001400800,"Census Tract 4008, Alameda County, California"
9,774700,77036,6001400900,"Census Tract 4009, Alameda County, California"
10,728800,92237,6001401000,"Census Tract 4010, Alameda County, California"
11,889800,238072,6001401100,"Census Tract 4011, Alameda County, California"
12,873800,51212,6001401200,"Census Tract 4012, Alameda County, California"
13,783100,60488,6001401300,"Census Tract 4013, Alameda County, California"
14,546700,78952,6001401400,"Census Tract 4014, Alameda County, California"
15,561200,52653,6001401500,"Census Tract 4015, Alameda County, California"
16,577100,57717,6001401600,"Census Tract 4016, Alameda County, California"
17,585400,37148,6001401700,"Census Tract 4017, Alameda County, California"
18,552300,139815,6001401800,"Census Tract 4018, Alameda County, California"
19,684100,90905,6001402200,"Census Tract 4022, Alameda County, California"
20,610800,80220,6001402400,"Census Tract 4024, Alameda County, California"
21,720000,154977,6001402500,"Census Tract 4025, Alameda County, California"
22,557400,81709,6001402600,"Census Tract 4026, Alameda County, California"
23,673400,81058,6001402700,"Census Tract 4027, Alameda County, California"
24,791200,132199,6001402800,"Census Tract 4028, Alameda County, California"
26,455400,41499,6001403000,"Census Tract 4030, Alameda County, California"
27,608200,31037,6001403100,"Census Tract 4031, Alameda County, California"
28,503200,136627,6001403300,"Census Tract 4033, Alameda County, California"
29,593200,223340,6001403400,"Census Tract 4034, Alameda County, California"
30,664100,283918,6001403501,"Census Tract 4035.01, Alameda County, California"
31,464500,76087,6001403502,"Census Tract 4035.02, Alameda County, California"
32,549000,98056,6001403600,"Census Tract 4036, Alameda County, California"
33,425900,111304,6001403701,"Census Tract 4037.01, Alameda County, California"
34,724700,141106,6001403702,"Census Tract 4037.02, Alameda County, California"
35,1052700,79714,6001403800,"Census Tract 4038, Alameda County, California"
36,664700,135197,6001403900,"Census Tract 4039, Alameda County, California"
37,629600,54542,6001404000,"Census Tract 4040, Alameda County, California"
38,801500,75549,6001404101,"Census Tract 4041.01, Alameda County, California"
39,682700,112146,6001404102,"Census Tract 4041.02, Alameda County, California"
40,1220500,69631,6001404200,"Census Tract 4042, Alameda County, California"
41,1567400,98457,6001404300,"Census Tract 4043, Alameda County, California"
42,995000,64801,6001404400,"Census Tract 4044, Alameda County, California"
43,1242200,129705,6001404501,"Census Tract 4045.01, Alameda County, California"
44,1001200,68633,6001404502,"Census Tract 4045.02, Alameda County, California"
